,entity,meaning
3558,slugger, (baseball) a ballplayer who is batting
3559,slugger, a boxer noted for an ability to deliver hard punches
3560,finance, the commercial activity of providing funds and capital
3561,finance, the management of money and credit and banking and investments
3562,finance," obtain or provide money for; ""Can we finance the addition to our home?"""
3563,finance, the branch of economics that studies the management of money and other assets
3564,roosevelt, wife of Franklin Roosevelt and a strong advocate of human rights (1884-1962)
3565,roosevelt, 32nd President of the United States; elected four times; instituted New Deal to counter the Great Depression and led country during World War II (1882-1945)
3566,transmit," transmit or serve as the medium for transmission; ""Sound carries well over water""; ""The airwaves carry the sound""; ""Many metals conduct heat"""
3567,transmit," broadcast over the airwaves, as in radio or television; ""We cannot air this X-rated song"""
3568,transmit," transfer to another; ""communicate a disease"""
3569,satisfaction," the contentment one feels when one has fulfilled a desire, need, or expectation; ""the chef tasted the sauce with great satisfaction"""
3570,satisfaction," act of fulfilling a desire or need or appetite; ""the satisfaction of their demand for better services"""
3571,satisfaction," state of being gratified or satisfied; ""dull repetitious work gives no gratification""; ""to my immense gratification he arrived on time"""
3572,satisfaction," compensation for a wrong; ""we were unable to get satisfaction from the local store"""
3573,hold," have or possess, either in a concrete or an abstract sense; ""She has $1,000 in the bank""; ""He has got two beautiful daughters""; ""She holds a Master's degree from Harvard"""
3574,hold," support or hold in a certain manner; ""She holds her head high""; ""He carried himself upright"""
3575,hold," protect against a challenge or attack; ""Hold that position behind the trees!""; ""Hold the bridge against the enemy's attacks"""
3576,hold," the act of grasping; ""he released his clasp on my arm""; ""he has a strong grip for an old man""; ""she kept a firm hold on the railing"""
3577,hold," a state of being confined (usually for a short time); ""his detention was politically motivated""; ""the prisoner is on hold""; ""he is in the custody of police"""
3578,hold," cause to stop; ""Halt the engines""; ""Arrest the progress""; ""halt the presses"""
3579,hold," have room for; hold without crowding; ""This hotel can accommodate 250 guests""; ""The theater admits 300 people""; ""The auditorium can't hold more than 500 people"""
3580,hold," contain or hold; have within; ""The jar carries wine""; ""The canteen holds fresh water""; ""This can contains water"""
3581,hold," stop dealing with; ""hold all calls to the President's office while he is in a meeting"""
3582,hold," have rightfully; of rights, titles, and offices; ""She bears the title of Duchess""; ""He held the governorship for almost a decade"""
3583,hold," assert or affirm; ""Rousseau's philosophy holds that people are inherently good"""
3584,hold," declare to be; ""She was declared incompetent""; ""judge held that the defendant was innocent"""
3585,hold," be in accord; be in agreement; ""We agreed on the terms of the settlement""; ""I can't agree with you!""; ""I hold with those who say life is sacred""; ""Both philosophers concord on this point"""
3586,hold," the appendage to an object that is designed to be held in order to use or move it; ""he grabbed the hammer by the handle""; ""it was an old briefcase but it still had a good grip"""
3587,hold," understanding of the nature or meaning or quality or magnitude of something; ""he has a good grasp of accounting practices"""
3588,hold," be pertinent or relevant or applicable; ""The same laws apply to you!""; ""This theory holds for all irrational numbers""; ""The same rules go for everyone"""
3589,hold," hold the attention of; ""The soprano held the audience""; ""This story held our interest""; ""She can hold an audience spellbound"""
3590,relationship," a state of connectedness between people (especially an emotional connection); ""he didn't want his wife to know of the relationship"""
3591,relationship, (anthropology) relatedness or connection by blood or marriage or adoption
3592,relationship," a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness); ""the relationship between mothers and their children"""
3593,relationship, a state involving mutual dealings between people or parties or countries
3594,heap," fill to overflow; ""heap the platter with potatoes"""
3595,heap," bestow in large quantities; ""He heaped him with work""; ""She heaped scorn upon him"""
3596,security," freedom from anxiety or fear; ""the watch dog gave her a feeling of security"""
3597,security," defense against financial failure; financial independence; ""his pension gave him security in his old age""; ""insurance provided protection against loss of wages due to illness"""
3598,security," a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends; ""he held several valuable securities"""
3599,security," the state of being free from danger or injury; ""we support the armed services in the name of national security"""
3600,performance," the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it; ""they criticised his performance as mayor""; ""experience generally improves performance"""
3601,performance," process or manner of functioning or operating; ""the power of its engine determines its operation""; ""the plane's operation in high winds""; ""they compared the cooking performance of each oven""; ""the jet's performance conformed to high standards"""
3602,performance," the act of presenting a play or a piece of music or other entertainment; ""we congratulated him on his performance at the rehearsal""; ""an inspired performance of Mozart's C minor concerto"""
3603,scent, cause to smell or be smelly
3604,scent, a distinctive odor that is pleasant
3605,scent, an odor left in passing by which a person or animal can be traced
3606,scent," apply perfume to; ""She perfumes herself every day"""
3607,speech," the act of delivering a formal spoken communication to an audience; ""he listened to an address on minor Roman poets"""
3608,speech," something spoken; ""he could hear them uttering merry speeches"""
3609,speech," the mental faculty or power of vocal communication; ""language sets homo sapiens apart from all other animals"""
3610,speech," your characteristic style or manner of expressing yourself orally; ""his manner of speaking was quite abrupt""; ""her speech was barren of southernisms""; ""I detected a slight accent in his speech"""
3611,manoeuvre," act in order to achieve a certain goal; ""He maneuvered to get the chairmanship""; ""She maneuvered herself into the directorship"""
3612,manoeuvre, an action aimed at evading an opponent
3613,hurt, a damage or loss
3614,hurt," give trouble or pain to; ""This exercise will hurt your back"""
3615,plant," put firmly in the mind; ""Plant a thought in the students' minds"""
3616,plant," set up or lay the groundwork for; ""establish a new department"""
3617,plant," fix or set securely or deeply; ""He planted a knee in the back of his opponent""; ""The dentist implanted a tooth in the gum"""
3618,plant," place something or someone in a certain position in order to secretly observe or deceive; ""Plant a spy in Moscow""; ""plant bugs in the dissident's apartment"""
3619,veil," make undecipherable or imperceptible by obscuring or concealing; ""a hidden message""; ""a veiled threat"""
3620,veil, a garment that covers the head and face
3621,veil," to obscure, or conceal with or as if with a veil; ""women in Afghanistan veil their faces"""
3622,publication, a copy of a printed work offered for distribution
3623,publication, the act of issuing printed materials
3624,warmth, the sensation caused by heat energy
3625,warmth, the trait of being intensely emotional
3626,warmth, a quality proceeding from feelings of affection or love
3627,warmth," the quality of having a moderate degree of heat; ""an agreeable warmth in the house"""
3628,puddle, make a puddle by splashing water
3629,puddle," subject to puddling or form by puddling; ""puddle iron"""
3630,puddle," mess around, as in a liquid or paste; ""The children are having fun puddling in paint"""
3631,puddle," mix up or confuse; ""He muddled the issues"""
3632,puddle," a small body of standing water (rainwater) or other liquid; ""there were puddles of muddy water in the road after the rain""; ""the body lay in a pool of blood"""
3633,dissolve," cause to fade away; ""dissolve a shot or a picture"""
3634,dissolve," cause to lose control emotionally; ""The news dissolved her into tears"""
3635,dissolve," pass into a solution; ""The sugar quickly dissolved in the coffee"""
3636,dissolve," bring the association of to an end or cause to break up; ""The decree officially dissolved the marriage""; ""the judge dissolved the tobacco company"""
3637,regulation, an authoritative rule
3638,regulation, the act of bringing to uniformity; making regular
3639,regulation," the act of controlling or directing according to rule; ""fiscal regulations are in the hands of politicians"""
3640,regulation, the state of being controlled or governed
3641,ranger, a member of a military unit trained as shock troops for hit-and-run raids
3642,ranger, an official who is responsible for managing and protecting an area of forest
3643,design," conceive or fashion in the mind; invent; ""She designed a good excuse for not attending classes that day"""
3644,design," intend or have as a purpose; ""She designed to go far in the world of business"""
3645,design," create designs; ""Dupont designs for the house of Chanel"""
3646,design," create the design for; create or execute in an artistic or highly skilled manner; ""Chanel designed the famous suit"""
3647,design," plan something for a specific role or purpose or effect; ""This room is not designed for work""   subject to breaking into sharp slender pieces"
3648,stratagem," an elaborate or deceitful scheme contrived to deceive or evade; ""his testimony was just a contrivance to throw us off the track"""
3649,stratagem, a maneuver in a game or conversation
3650,traffic, social or verbal interchange (usually followed by `with')
3651,traffic, the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
3652,traffic," trade or deal a commodity; ""They trafficked with us for gold"""
3653,traffic, buying and selling; especially illicit trade
3654,traffic," deal illegally; ""traffic drugs"""
3655,model," construct a model of; ""model an airplane"""
3656,model," a representative form or pattern; ""I profited from his example"""
3657,model," a woman who wears clothes to display fashions; ""she was too fat to be a mannequin"""
3658,model," display (clothes) as a mannequin; ""model the latest fashion"""
3659,model," something to be imitated; ""an exemplar of success""; ""a model of clarity""; ""he is the very model of a modern major general"""
3660,garland," adorn with bands of flowers or leaves; ""They garlanded the statue"""
3661,garland, a city in northeastern Texas (suburb of Dallas)
3662,invocation, an incantation used in conjuring or summoning a devil
3663,invocation, calling up a spirit or devil
3664,slug, a projectile that is fired from a gun
3665,slug," (boxing) a blow with the fist; ""I gave him a clout on his nose"""
3666,take out," prevent from being included or considered or accepted; ""The bad results were excluded from the report""; ""Leave off the top piece"""
3667,take out," make a date; ""Has he asked you out yet?"""
3668,take out," bring, take, or pull out of a container or from under a cover; ""draw a weapon""; ""pull out a gun""; ""The mugger pulled a knife on his victim"""
3669,take out," take liquid out of a container or well; ""She drew water from the barrel"""
3670,take out, take out of a literary work in order to cite or copy
3671,take out," take out or remove; ""take out the chicken after adding the vegetables"""
3672,take out," an aerobic Gram-negative coccobacillus that causes brucellosis; can be used as a bioweapon   remove, usually with some force or effort; also used in an abstract sense; ""pull weeds""; ""extract a bad tooth""; ""take out a splinter""; ""extract information from the telegram"""
3673,knob, a round handle
3674,knob, a circular rounded projection or protuberance
3675,source, anything that provides inspiration for later work
3676,source," someone who originates or causes or initiates something; ""he was the generator of several complaints"""
3677,source, a facility where something is available
3678,source," the place where something begins, where it springs into being; ""the Italian beginning of the Renaissance""; ""Jupiter was the origin of the radiation""; ""Pittsburgh is the source of the Ohio River""; ""communism's Russian root"""
3679,source," a publication (or a passage from a publication) that is referred to; ""he carried an armful of references back to his desk""; ""he spent hours looking for the source of that quotation"""
3680,source," (technology) a process by which energy or a substance enters a system; ""a heat source""; ""a source of carbon dioxide"""
3681,source," a document (or organization) from which information is obtained; ""the reporter had two sources for the story"""
3682,source, a person who supplies information
3683,homestead, land acquired from the United States public lands by filing a record and living on and cultivating it under the homestead law
3684,homestead, dwelling that is usually a farmhouse and adjoining land
3685,shaw, British playwright (born in Ireland); founder of the Fabian Society (1856-1950)
3686,shaw, United States physician and suffragist (1847-1919)
3687,loading, weight to be borne or conveyed
3688,loading," the labor of putting a load of something on or in a vehicle or ship or container etc.; ""the loading took 2 hours"""
3689,plan," have the will and intention to carry out some action; ""He plans to be in graduate school next year""; ""The rebels had planned turmoil and confusion"""
3690,plan," make plans for something; ""He is planning a trip with his family"""
3691,plan," make a design of; plan out in systematic, often graphic form; ""design a better mousetrap""; ""plan the new wing of the museum"""
3692,plan," scale drawing of a structure; ""the plans for City Hall were on file"""
3693,plan," an arrangement scheme; ""the awkward design of the keyboard made operation difficult""; ""it was an excellent design for living""; ""a plan for seating guests"""
3694,hitch, a connection between a vehicle and the load that it pulls
3695,hitch, a knot that can be undone by pulling against the strain that holds it; a temporary knot
3696,kick, drive or propel with the foot
3697,kick," make a goal; ""He kicked the extra point after touchdown"""
3698,kick," strike with the foot; ""The boy kicked the dog""; ""Kick the door down"""
3699,kick," stop consuming; ""kick a habit""; ""give up alcohol"""
3700,skulker, someone shirking their duty by feigning illness or incapacity
3701,skulker, someone waiting in concealment
3702,people," the body of citizens of a state or country; ""the Spanish people"""
3703,people," members of a family line; ""his people have been farmers for generations""; ""are your people still alive?"""
3704,people," (plural) any group of human beings (men or women or children) collectively; ""old people""; ""there were at least 200 people in the audience"""
3705,people," fill with people; ""Stalin wanted to people the empty steppes"""
3706,people," furnish with people; ""The plains are sparsely populated"""
3707,smatter," to talk foolishly; ""The two women babbled and crooned at the baby"""
3708,smatter," work with in an amateurish manner; ""She dabbles in astronomy""; ""He plays around with investments but he never makes any money"""
3709,tape," a long thin piece of cloth or paper as used for binding or fastening; ""he used a piece of tape for a belt""; ""he wrapped a tape around the package"""
3710,tape," register electronically; ""They recorded her singing"""
3711,tape," memory device consisting of a long thin plastic strip coated with iron oxide; used to record audio or video signals or to store computer information; ""he took along a dozen tapes to record the interview"""
3712,hat, furnish with a hat
3713,hat," put on or wear a hat; ""He was unsuitably hatted"""
3714,anaglyph, anything carved in low relief
3715,anaglyph, moving or still pictures in contrasting colors that appear three-dimensional when superimposed
3716,park," a facility in which ball games are played (especially baseball games); ""take me out to the ballpark"""
3717,park," maneuver a vehicle into a parking space; ""Park the car in front of the library""; ""Can you park right here?"""
3718,park," a piece of open land for recreational use in an urban area; ""they went for a walk in the park"""
3719,park," place temporarily; ""park the car in the yard""; ""park the children with the in-laws""; ""park your bag in this locker"""
3720,charge," a person committed to your care; ""the teacher led her charges across the street"""
3721,charge," an impetuous rush toward someone or something; ""the wrestler's charge carried him past his adversary""; ""the battle began with a cavalry charge"""
3722,charge," an assertion that someone is guilty of a fault or offence; ""the newspaper published charges that Jones was guilty of drunken driving"""
3723,charge," assign a duty, responsibility or obligation to; ""He was appointed deputy manager""; ""She was charged with supervising the creation of a concordance"""
3724,charge," attribute responsibility to; ""We blamed the accident on her""; ""The tragedy was charged to her inexperience"""
3725,charge," blame for, make a claim of wrongdoing or misbehavior against; ""he charged the director with indifference"""
3726,charge," enter a certain amount as a charge; ""he charged me $15"""
3727,charge," demand payment; ""Will I get charged for this service?""; ""We were billed for 4 nights in the hotel, although we stayed only 3 nights"""
3728,charge," financial liabilities (such as a tax); ""the charges against the estate"""
3729,charge," the price charged for some article or service; ""the admission charge"""
3730,charge," fill or load to capacity; ""charge the wagon with hay"""
3731,charge," request for payment of a debt; ""they submitted their charges at the end of each month"""
3732,charge," instruct (a jury) about the law, its application, and the weighing of evidence"
3733,charge," cause formation of a net electrical charge in or on; ""charge a conductor"""
3734,charge," energize a battery by passing a current through it in the direction opposite to discharge; ""I need to charge my car battery"""
3735,charge," place a heraldic bearing on; ""charge all weapons, shields, and banners"""
3736,charge," (psychoanalysis) the libidinal energy invested in some idea or person or object; ""Freud thought of cathexis as a psychic analog of an electrical charge"""
3737,repurchase, the act of purchasing back something previously sold
3738,repurchase," buy what had previously been sold, lost, or given away; ""He bought back the house that his father sold years ago"""
3739,grey," clothing that is a grey color; ""he was dressed in grey"""
3740,grey," make grey; ""The painter decided to grey the sky"""
3741,grey," turn grey; ""Her hair began to grey"""
3742,put up," place so as to be noticed; ""post a sign""; ""post a warning at the dump"""
3743,put up," provide housing for; ""The immigrants were housed in a new development outside the town"""
3744,put up, propose as a candidate for some honor
3745,sport," play boisterously; ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
3746,sport," a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances; ""a good sport""; ""a poor sport"""
3747,sport, the occupation of athletes who compete for pay
3748,sport," wear or display in an ostentatious or proud manner; ""she was sporting a new hat"""
3749,sport, an active diversion requiring physical exertion and competition
3750,sport," verbal wit or mockery (often at another's expense but not to be taken seriously); ""he became a figure of fun""; ""he said it in sport"""
3751,vocalize, express or state clearly
3752,vocalize, sing (each note a scale or in a melody) with the same vowel
3753,vocalize, utter speech sounds
3754,plate, the positively charged electrode in a vacuum tube
3755,plate," coat with a layer of metal; ""plate spoons with silver"""
3756,plate, a sheet of metal or wood or glass or plastic
3757,plate, any flat platelike body structure or part
3758,plate, a dental appliance that artificially replaces missing teeth
3759,plate," (baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score; ""he ruled that the runner failed to touch home"""
3760,challenge, a call to engage in a contest or fight
3761,challenge," issue a challenge to; ""Fischer challenged Spassky to a match"""
3762,challenge," ask for identification; ""The illegal immigrant was challenged by the border guard"""
3763,black hills, mountains in western South Dakota and northeastern Wyoming
3764,black hills, mountains in southwestern South Dakota and northeastern Wyoming; sacred to the Sioux (whites settling in the Black Hills led to the Battle of Little Bighorn); site of Mount Rushmore
3765,incident, a single distinct event
3766,incident," a public disturbance; ""the police investigated an incident at the bus station"""
3767,piffle, trivial nonsense
3768,piffle, act in a trivial or ineffective way
3769,reference," a formal recommendation by a former employer to a potential future employer describing the person's qualifications and dependability; ""requests for character references are all too often answered evasively"""
3770,reference," refer to; ""he referenced his colleagues' work"""
3771,reference," the most direct or specific meaning of a word or expression; the class of objects that an expression refers to; ""the extension of `satellite of Mars' is the set containing only Demos and Phobos"""
3772,reference," the act of referring or consulting; ""reference to an encyclopedia produced the answer"""
3773,reference," a short note recognizing a source of information or of a quoted passage; ""the student's essay failed to list several important citations""; ""the acknowledgments are usually printed at the front of a book""; ""the article includes mention of similar clinical cases"""
3774,reference," a remark that calls attention to something or someone; ""she made frequent mention of her promotion""; ""there was no mention of it""; ""the speaker made several references to his wife"""
3775,reference, (computer science) the code that identifies where a piece of information is stored
3776,zombie," someone who acts or responds in a mechanical or apathetic way; ""only an automaton wouldn't have noticed"""
3777,zombie, a god of voodoo cults of African origin worshipped especially in West Indies
3778,zombie, a dead body that has been brought back to life by a supernatural force
3779,confinement, the act of restraining of a person's liberty by confining them
3780,confinement," the state of being confined; ""he was held in confinement"""
3781,will, a legal document declaring a person's wishes regarding the disposal of their property when they die
3782,will," the capability of conscious choice and decision and intention; ""the exercise of their volition we construe as revolt""- George Meredith"
3783,will," determine by choice; ""This action was willed and intended"""
3784,will," leave or give by will after one's death; ""My aunt bequeathed me all her jewelry""; ""My grandfather left me his entire estate"""
3785,will," a fixed and persistent intent or purpose; ""where there's a will there's a way"""
3786,angularity, a shape having one or more sharp angles
3787,angularity, the property possessed by a shape that has angles
3788,sounding board, (music) resonator consisting of a thin board whose vibrations reinforce the sound of the instrument
3789,sounding board," a person whose reactions to something serve as an indication of its acceptability; ""I would use newspapermen as a sounding board for such policies"""
3790,sparkle," reflect brightly; ""Unquarried marble sparkled on the hillside"""
3791,sparkle," be lively or brilliant or exhibit virtuosity; ""The musical performance sparkled""; ""A scintillating conversation""; ""his playing coruscated throughout the concert hall"""
3792,sparkle, the quality of shining with a bright reflected light
3793,sparkle," emit or produce sparks; ""A high tension wire, brought down by a storm, can continue to spark"""
3794,sparkle," become bubbly or frothy or foaming; ""The boiling soup was frothing""; ""The river was foaming""; ""Sparkling water"""
3795,sparkle, the occurrence of a small flash or spark
3796,laminate, a sheet of material made by bonding two or more sheets or layers
3797,laminate, create laminate by bonding sheets of material with a bonding material
3798,laminate," cover with a thin sheet of non-fabric material; ""laminate the table"""
3799,laminate, split (wood) into thin sheets
3800,space," the unlimited expanse in which everything is located; ""they tested his ability to locate objects in space""; ""the boundless regions of the infinite"""
3801,space," an area reserved for some particular purpose; ""the laboratory's floor space"""
3802,space," place at intervals; ""Space the interviews so that you have some time between the different candidates"""
3803,space," one of the areas between or below or above the lines of a musical staff; ""the spaces are the notes F-A-C-E"""
3804,space," a blank area; ""write your name in the space provided"""
3805,space," any location outside the Earth's atmosphere; ""the astronauts walked in outer space without a tether""; ""the first major milestone in space exploration was in 1957, when the USSR's Sputnik 1 orbited the Earth"""
3806,space," an empty area (usually bounded in some way between things); ""the architect left space in front of the building""; ""they stopped at an open space in the jungle""; ""the space between his teeth"""
3807,square, an open area at the meeting of two or more streets
3808,square," any artifact having a shape similar to a plane geometric figure with four equal sides and four right angles; ""a checkerboard has 64 squares"""
3809,square," be compatible with; ""one idea squares with another"""
3810,square," (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon; ""you can compute the area of a square if you know the length of its sides"""
3811,theatre, the art of writing and producing plays
3812,theatre," a building where theatrical performances or motion-picture shows can be presented; ""the house was full"""
3813,replay, something (especially a game) that is played again
3814,replay," reproduce (a recording) on a recorder; ""The lawyers played back the conversation to show that their client was innocent"""
3815,replay," repeat a game against the same opponent; ""Princeton replayed Harvard"""
3816,replay, the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape   having abnormal sagging of the spine (especially in horses)
3817,whortleberry, erect European blueberry having solitary flowers and blue-black berries
3818,whortleberry, blue-black berries similar to American blueberries
3819,watch, a person employed to keep watch for some anticipated event
3820,watch, the rite of staying awake for devotional purposes (especially on the eve of a religious festival)
3821,watch," observe with attention; ""They watched as the murderer was executed"""
3822,watch," see or watch; ""view a show on television""; ""This program will be seen all over the world""; ""view an exhibition""; ""Catch a show on Broadway""; ""see a movie"""
3823,watch, a purposeful surveillance to guard or observe
3824,watch," find out, learn, or determine with certainty, usually by making an inquiry or other effort; ""I want to see whether she speaks French""; ""See whether it works""; ""find out if he speaks Russian""; ""Check whether the train leaves on time"""
3825,watch," look attentively; ""watch a basketball game"""
3826,watch, a small portable timepiece
3827,watch, a period of time (4 or 2 hours) during which some of a ship's crew are on duty
3828,tide," something that may increase or decrease (like the tides of the sea); ""a rising tide of popular interest"""
3829,tide," hard outer covering or case of certain organisms such as arthropods and turtles   rise or move forward; ""surging waves"""
3830,tide, the periodic rise and fall of the sea level under the gravitational pull of the moon
3831,chameleon, lizard of Africa and Madagascar able to change skin color and having a projectile tongue
3832,chameleon, a changeable or inconstant person
3833,nut," someone who is so ardently devoted to something that it resembles an addiction; ""a golf addict""; ""a car nut""; ""a bodybuilding freak""; ""a news junkie"""
3834,nut, a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt
3835,nut, half the width of an em
3836,nut, usually large hard-shelled seed
3837,temptation," the act of influencing by exciting hope or desire; ""his enticements were shameless"""
3838,temptation, something that seduces or has the quality to seduce
3839,size," the physical magnitude of something (how big it is); ""a wolf is about the size of a large dog"""
3840,size, sort according to size
3841,size, make to a size; bring to a suitable size
3842,size," the property resulting from being one of a series of graduated measurements (as of clothing); ""he wears a size 13 shoe"""
3843,meshing," contact by fitting together; ""the engagement of the clutch""; ""the meshing of gears"""
3844,meshing," the act of interlocking or meshing; ""an interlocking of arms by the police held the crowd in check"""
3845,hyderabad, a city in south central India in Andhra Pradesh
3846,hyderabad, a city in southern Pakistan on the Indus River
3847,jacket, a short coat
3848,jacket," an outer wrapping or casing; ""phonograph records were sold in cardboard jackets"""
3849,jacket, the outer skin of a potato
3850,jacket," put a jacket on; ""The men were jacketed"""
3851,mullet, highly valued lean flesh of marine or freshwater mullet
3852,mullet, freshwater or coastal food fishes a spindle-shaped body; found worldwide
3853,mullet, bottom dwelling marine warm water fishes with two barbels on the chin
3854,harmonize, write a harmony for
3855,harmonize," go together; ""The colors don't harmonize""; ""Their ideas concorded"""
3856,harmonize," bring (several things) into consonance or relate harmoniously; ""harmonize the different interests"""
3857,harmonize," bring into consonance, harmony, or accord while making music or singing"
3858,harmonize, sing or play in harmony
3859,concentrate, a concentrated form of a foodstuff; the bulk is reduced by removing water
3860,concentrate," make denser, stronger, or purer; ""concentrate juice"""
3861,concentrate," draw together or meet in one common center; ""These groups concentrate in the inner cities"""
3862,concentrate," make central; ""The Russian government centralized the distribution of food"""
3863,rib, a riblike supporting or strengthening part of an animal or plant
3864,rib, a teasing remark
3865,rib, support resembling the rib of an animal
3866,rib, any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
3867,tap," make a solicitation or entreaty for something; request urgently or persistently; ""Henry IV solicited the Pope for a divorce""; ""My neighbor keeps soliciting money for different charities"""
3868,tap, a gentle blow
3869,tap, a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
3870,tap, a light touch or stroke
3871,tap, a plug for a bunghole in a cask
3872,tap," draw from; make good use of; ""we must exploit the resources we are given wisely"""
3873,tap," furnish with a tap or spout, so as to be able to draw liquid from it; ""tap a cask of wine"""
3874,tap," make light, repeated taps on a surface; ""he was tapping his fingers on the table impatiently"""
3875,tap," draw (liquor) from a tap; ""tap beer in a bar"""
3876,tap, the sound made by a gentle blow
3877,distortion, a change for the worse
3878,distortion, a shape resulting from distortion
3879,distortion," a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal); ""heavy metal guitar players use vacuum tube amplifiers to produce extreme distortion"""
3880,distortion, the mistake of misrepresenting the facts
3881,hook, hit a ball and put a spin on it so that it travels to the left
3882,hook," make a piece of needlework by interlocking and looping thread with a hooked needle; ""She sat there crocheting all day"""
3883,hook," to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
3884,hook, a curved or bent implement for suspending or pulling something
3885,hook, a short swinging punch delivered from the side with the elbow bent
3886,hook, a mechanical device that is curved or bent to suspend or hold or pull something
3887,hook, fasten with a hook
3888,organization," the activity or result of distributing or disposing persons or things properly or methodically; ""his organization of the work force was very efficient"""
3889,organization," the act of organizing a business or an activity related to a business; ""he was brought in to supervise the organization of a new department"""
3890,organization, a group of people who work together
3891,organization," the persons (or committees or departments etc.) who make up a body for the purpose of administering something; ""he claims that the present administration is corrupt""; ""the governance of an association is responsible to its members""; ""he quickly became recognized as a member of the establishment"""
3892,organization," the act of forming or establishing something; ""the constitution of a PTA group last year""; ""it was the establishment of his reputation""; ""he still remembers the organization of the club"""
3893,sneer, a facial expression of contempt or scorn; the upper lip curls
3894,sneer," express through a scornful smile; ""she sneered her contempt"""
3895,sneer," smile contemptuously; ""she sneered at her little sister's efforts to play the song on the piano"""
3896,motion, the use of movements (especially of the hands) to communicate familiar or prearranged signals
3897,motion," a state of change; ""they were in a state of steady motion"""
3898,motion," show, express or direct through movement; ""He gestured his desire to leave"""
3899,ventilator, a device that facilitates breathing in cases of respiratory failure
3900,ventilator, a device (such as a fan) that introduces fresh air or expels foul air
3901,bag," put into a bag; ""The supermarket clerk bagged the groceries"""
3902,bag," hang loosely, like an empty bag"
3903,bag," a flexible container with a single opening; ""he stuffed his laundry into a large bag"""
3904,clog, any object that acts as a hindrance or obstruction
3905,clog, dance a clog dance
3906,pointer, a mark to indicate a direction or relation
3907,pointer, an indicator as on a dial
3908,pointer, (computer science) indicator consisting of a movable spot of light (an icon) on a visual display; moving it allows the user to point to commands or screen positions
3909,rotation," the act of rotating as if on an axis; ""the rotation of the dancer kept time with the music"""
3910,rotation," a single complete turn (axial or orbital); ""the plane made three rotations before it crashed""; ""the revolution of the earth about the sun takes one year"""
3911,rotation," a planned recurrent sequence (of crops or personnel etc.); ""crop rotation makes a balanced demand on the fertility of the soil""; ""the manager had only four starting pitchers in his rotation"""
3912,submit," refer to another person for decision or judgment; ""She likes to relegate difficult questions to her colleagues"""
3913,submit," make over as a return; ""They had to render the estate"""
3914,submit, hand over formally
3915,submit," refer for judgment or consideration; ""The lawyers submitted the material to the court"""
3916,submit," put before; ""I submit to you that the accused is guilty"""
3917,submit," yield to another's wish or opinion; ""The government bowed to the military pressure"""
3918,submit, yield to the control of another
3919,solmizate," sing by the syllables of solmization; ""solmizate a song before you learn the lyrics"""
3920,solmizate," sing using syllables like `do', `re' and `mi' to represent the tones of the scale; ""The voice teacher showed the students how to solmizate"""
3921,cover, hold within range of an aimed firearm
3922,cover," copulate with a female, used especially of horses; ""The horse covers the mare"""
3923,cover," bedding that keeps a person warm in bed; ""he pulled the covers over his head and went to sleep"""
3924,cover," the protective covering on the front, back, and spine of a book; ""the book had a leather binding"""
3925,cover," invest with a large or excessive amount of something; ""She covered herself with glory"""
3926,cover," spread over a surface to conceal or protect; ""This paint covers well"""
3927,cover," provide with a covering or cause to be covered; ""cover her face with a handkerchief""; ""cover the child with a blanket""; ""cover the grave with flowers"""
3928,cover," maintain a check on; especially by patrolling; ""The second officer covered the top floor"""
3929,paw, a clawed foot of an animal especially a quadruped
3930,paw," touch clumsily; ""The man tried to paw her"""
3931,paw," the (prehensile) extremity of the superior limb; ""he had the hands of a surgeon""; ""he extended his mitt"""
3932,region," a large indefinite location on the surface of the Earth; ""penguins inhabit the polar regions"""
3933,region," a part of an animal that has a special function or is supplied by a given artery or nerve; ""in the abdominal region"""
3934,region," the extended spatial location of something; ""the farming regions of France""; ""religions in all parts of the world""; ""regions of outer space"""
3935,straighten out," make free from confusion or ambiguity; make clear; ""Could you clarify these remarks?""; ""Clear up the question of who is at fault"""
3936,straighten out, make straight
3937,straighten out," settle or put right; ""we need to iron out our disagreements"""
3938,straighten out," change for the better; ""The lazy student promised to reform""; ""the habitual cheater finally saw the light"""
3939,lion, the fifth sign of the zodiac; the sun is in this sign from about July 23 to August 22
3940,lion, (astrology) a person who is born while the sun is in Leo
